Name,Code,Type,Unit,Description,Manufacturer,Sales Tax,PurchaseTax,StripSize,Scheduled,Strength,Category,Molecule,Mrp,Selling Price,Avg Item Cost,Stock Value@ Cost,Offer
DURATAZ 4.5G INJ,,,1,,RANBAXY LABORATORIES LTD,,5,1,,,,,7.21,4.21,1,0,
E-FLO EYE DROPS,,,1,,RANBAXY LABORATORIES LTD,,5,1,,,,,128,125,1,0,
E.T Bottles 7.5 CUFF(ROMSONS),,,1,,RANBAXY LABORATORIES LTD,,5,1,,,,,44.15,41.15,1,0,
E.T TUBE PLAIN 4.5(ROMSON),,,1,,RANBAXY LABORATORIES LTD,,5,1,,,,,30.5,27.5,1,0,
E.T.Bottles 7 CUFF (RMS),,,1,,RANBAXY LABORATORIES LTD,,5,1,,,,,53,50,1,0,
EBAST 20mg TAB,,,1,,RANBAXY LABORATORIES LTD,,5,1,,,,,41.25,38.25,1,0,Buy 5 get 1
EBAST M TAB,,,1,,RANBAXY LABORATORIES LTD,,5,1,,,,,75.7,72.7,1,0,Buy 5 get 1
DYTOR-5MG TAB,,,4,,RANBAXY LABORATORIES LTD,,5,1,,,,,213.5,210.5,1,0,
COROLATE INJ GLYCOPYRROLATE,,,10,,GLAXO TEAM II DERMA,,5,1,,,,,85,82,1,0,Buy 5 get 1
COBADEX CZS TAB,,,20,,GLAXO TEAM 4,,5,53,,,,,66.4,63.4,1,0,
SHOU.IMMOBILIZER SPL-M (DYNA),,,30,,BAYER PHARMA,,5,25,,,,,60.24,57.24,1,0,Buy 5 get 1
AMBRODIL SYRUP,,, 30 ML,,MEDLEY PHARMACEUTICALS LIMITED,,5,62,,,,,42,32.34,27.07,351.89,
LOSTAT 25MG TAB,,,1 GM,,ARISTO PHARMACEUTICALS LTD,,5,25,,,,,61.84,47.61,24.6,418.17,
GENTAMAC  INJ 2ML(GENTAMICIN),,,1 ML,,TROIKAA PHARMACEUTICALS LTD,,5,69,,,,,84,81,1,0,
KABIVEN PERIPHERAL 1440ML,,,1 ML,,Dr.REDDY's LABORATORIES LTD,,5,54,,,,,18.5,14.38,11.63,1279.62,
KEYLYTE SYP-200ML,,,1 ML,,NOVARTIS (INDIA) LTD,,5,56,,,,,19.5,15.01,12.43,410.13,
LIZOMAC TAB,,,1 ML,,ORGANON (INDIA) LTD,,5,45,,,,,61,46.48,42.76,42.76,
NEEDLE NO 2611/2 (DISPOVAN),,,1 ML,,GRANDIX PHARMACEUTICALS LTD,,5,53,,,,,89.5,68.19,52.46,629.58,
NIPRESS INJECTION 50MG,,,1 ML,,DKT INDIA,,14.5,130,,,,,125,122,1,0,Buy 5 get 1
UROBAG PAED(ROMSON),,,1 ML,,PIRAMAL HEALTHCARE LTD,,5,45,,,,,48.21,45.21,1,0,
THYRONORM 100MCG TAB,,,1 VAIL,,MERCURY LABORATORIES LIMITED,,5,68,,,,,7.77,4.77,1,0,Buy 5 get 1
SPASMO-PROXYVON PLUS CAPS,,,1.5 ML,,ELDER PHARMACEUTICALS PVT LTD,,5,54,,,,,7.41,4.41,1,0,Buy 5 get 1
AZIBEST DT-100MG,,,1'S,,CIPLA LTD,,5,45,,,,,15.2,12.2,1,0,
COGNISULES CAP,,,1'S,,GLAXO TEAM 4,,5,1,,,,,10.17,7.17,1,0,
