Name,Code,Type,Unit,Description,Manufacturer,Sales Tax,PurchaseTax,StripSize,Scheduled,Strength,Category,Molecule,Mrp,Selling Price,Avg Item Cost,Stock Value@ Cost,Offer,Distributor Name
KETOFLOX E/D,,,5ML,,ALLERGAN INDIA LTD,,5,57,,,,,68.62,60.5,1,0,,AADITYA PHARMEX
PREDNISOLONE ACET E/D,,,5ML,,ALLERGAN INDIA LTD,,5,57,,,,,62.2,58,1,0,,AADITYA PHARMEX
RELESTAT E/D,,,5ML,,ALLERGAN INDIA LTD,,5,57,,,,,253,234,1,0,,AADITYA PHARMEX
CRUXOL650,,,10'S,,ATLANTA BIOTEC,,5,60,,,,,15,12.5,1,0,,AADITYA PHARMEX
INSUGEN R 40IU,,,10 ML,,BIOCON LIMITED,,5,9,,,,,145.55,142.55,1,0,,AADITYA PHARMEX
TRIGPM 2 MG,,,10'S,,BIOCON LIMITED,,5,9,,,,,82,79,1,0,Buy 5 get 1,AADITYA PHARMEX
DISORAL 120 ML,,,120 ML,,ELDER ADEVENTS,,14.5,1,,,,,73.7,70.7,1,0,,AADITYA PHARMEX
ZILOS 25,,,10'S,,FDC LIMITED,,5,69,,,,,12,9,1,0,,AADITYA PHARMEX
ZILOS H 10,,,10'S,,FDC LIMITED,,5,57,,,,,26,23,1,0,Buy 5 get 1,AADITYA PHARMEX
ZIPANT 40,,,10'S,,FDC LIMITED,,5,57,,,,,21,18,1,0,Buy 5 get 1,AADITYA PHARMEX
ZIVAST 10MG .,,,10'S,,FDC LIMITED,,5,69,,,,,34.25,31.25,1,0,Buy 5 get 1,AADITYA PHARMEX
ZIVAST 5MG,,,10'S,,FDC LIMITED,,5,57,,,,,16.5,13.5,1,0,Buy 5 get 1,AADITYA PHARMEX
ZIVAST E 10,,,10'S,,FDC LIMITED,,5,57,,,,,67,64,1,0,Buy 5 get 1,AADITYA PHARMEX
ZIVAST E 20,,,10'S,,FDC LIMITED,,5,57,,,,,85.25,82.25,1,0,Buy 5 get 1,AADITYA PHARMEX
ZO 100 DT,,,10'S,,FDC LIMITED,,5,57,,,,,21.5,18.5,1,0,Buy 5 get 1,AADITYA PHARMEX
PULMOCEF 250MG,,,10'S,,MICRO LABS LTD (INDIA),,5,53,,,,,125,122,1,0,Buy 5 get 1,AADITYA PHARMEX
PULMOCLOX CAP,,,10'S,,MICRO LABS LTD (INDIA),,5,73,,,,,53,50,1,0,Buy 5 get 1,AADITYA PHARMEX
ROSINORM 2MG,,,10'S,,MICRO LABS LTD (INDIA),,5,1,,,,,42,39,1,0,Buy 5 get 1,AADITYA PHARMEX
ROSINORM G,,,10'S,,MICRO LABS LTD (INDIA),,5,56,,,,,64.8,61.8,1,0,Buy 5 get 1,AADITYA PHARMEX
ZINE D,,,10'S,,NEBULAE PHARMACEUTICALS,,5,10,,,,,22,19,1,0,,AADITYA PHARMEX
MELALITE XL CRM,,,15 GM,,NICHOLAS PIRAMAL INDIA LTD,,5,45,,,,,154,151,1,0,,AADITYA PHARMEX
RESTECLIN 250,,,250MG,,NICHOLAS PIRAMAL INDIA LTD,,5,53,,,,,7.55,4.55,1,0,,AADITYA PHARMEX
HB POSITIVE,,,10'S,,NOHA'S LABORATORIES,,5,59,,,,,69.72,66.72,1,0,,AADITYA PHARMEX
DICLORAN 50,,,10'S,,UNIQUE PHARMACEUTICALS LABS LTD,,5,1,,,,,19.95,16.95,1,0,,AADITYA PHARMEX
DICLORAN MS GEL,,,30GM,,UNIQUE PHARMACEUTICALS LABS LTD,,5,56,,,,,70.86,67.86,1,0,,AADITYA PHARMEX
MOVIZ,,,10'S,,UNIQUE PHARMACEUTICALS LABS LTD,,5,1,,,,,25.3,22.3,1,0,,AADITYA PHARMEX
NOR METROGYL **,,,10'S,,UNIQUE PHARMACEUTICALS LABS LTD,,5,56,,,,,16.43,13.43,1,0,,AADITYA PHARMEX
OF M SYP **,,,30ML,,UNIQUE PHARMACEUTICALS LABS LTD,,5,1,,,,,12.18,9.18,1,0,,AADITYA PHARMEX
RANTAC INJ,,,2ML,,UNIQUE PHARMACEUTICALS LABS LTD,,5,75,,,,,3.47,0.47,1,0,,AADITYA PHARMEX
4 BONES CAPS,,,10'S,,UNIVERSAL MEDICARE LIMITED,,5,1,,,,,66,63,1,0,,AADITYA PHARMEX
AMINO FIT,,,15'S,,UNIVERSAL MEDICARE LIMITED,,5,56,,,,,107.75,104.75,1,0,,AADITYA PHARMEX
ESTOVON SOFT,,,10'S,,UNIVERSAL MEDICARE LIMITED,,5,56,,,,,110,107,1,0,,AADITYA PHARMEX
FOLGEL,,,15'S,,UNIVERSAL MEDICARE LIMITED,,5,73,,,,,95.7,92.7,1,0,,AADITYA PHARMEX
FOLWISE CAPS,,,15'S,,UNIVERSAL MEDICARE LIMITED,,5,1,,,,,88.5,85.5,1,0,Buy 5 get 1,AADITYA PHARMEX
MULTIVITE WOMAN,,,15'S,,UNIVERSAL MEDICARE LIMITED,,5,73,,,,,139,136,1,0,Buy 5 get 1,AADITYA PHARMEX
PRIMACAL AT,,,10'S,,UNIVERSAL MEDICARE LIMITED,,5,56,,,,,115,112,1,0,Buy 5 get 1,AADITYA PHARMEX
SEACOD ACTIVE 15'S,,,15'S,,UNIVERSAL MEDICARE LIMITED,,5,73,,,,,54.88,51.88,1,0,Buy 5 get 1,AADITYA PHARMEX
SEACOD ACTIVE 30,,,30'S,,UNIVERSAL MEDICARE LIMITED,,5,73,,,,,95,92,1,0,Buy 5 get 1,AADITYA PHARMEX
DIGINE (STAW) GEL 170 ML,,,171 ML,,ABBOTT INDIA LTD,,5,26,,,,,57,54,2,1,,AADITYA PHARMEX
DIGINE FIZZ PUDINA SAC,,,2'S,,ABBOTT INDIA LTD,,5,106,,,,,6,3,2,1,,AADITYA PHARMEX
EPILEX 200 **,,,11'S,,ABBOTT INDIA LTD,,5,54,,,,,33.24,30.24,2,1,Buy 5 get 1,AADITYA PHARMEX
ROXID KID,,,11'S,,ALEMBIC CHEMICAL WORKS CO LTD,,5,54,,,,,40,37,2,1,,AADITYA PHARMEX
BRUFFEN 601,,,16'S,,ABBOTT INDIA LTD,,5,26,,,,,14.68,11.68,2,1,,AADITYA PHARMEX
VENTORLIN SYP 100 ML .,,,100 ML,,GLAXO TEAM 6,,5,1,,,,,15.75,12.44,11.44,80.1,,AADITYA PHARMEX
CYNOCAL 16 TAB,,,10'S,,OZONE PHARMACEUTICALS,,5,92,,,,,15.75,12.7,11.49,1149,Buy 5 get 1,AADITYA PHARMEX
BENDEX SYP 10 ML,,,10 ML,,CIPLA LTD,,5,45,,,,,17.1,13.16,10.96,295.8,Buy 5 get 1,AADITYA PHARMEX
METAFORT 500,,,10'S,,ERIS LIFE SCIENCIES PVT LTD,,5,86,,,,,17.42,13.27,12.34,61.7,,AADITYA PHARMEX
GLYCIPHAGE 850 MG,,,10'S,,FRANCO INDIAN DIABETIC,,5,45,,,,,17.55,13.5,12.42,484.38,,AADITYA PHARMEX
RANITIN 150 MG,,,30'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,17.55,13.51,12.56,401.92,,AADITYA PHARMEX
HISTAC 150 MG,,,20'S,,RANBAXY LABORATORIES LTD,,5,1,,,,,19.68,15.15,14.09,352.25,,AADITYA PHARMEX
COMBIFLAM SUSP 100,,,60 ML,,AVENTIES PASTUER INDIA LTD,,14.5,25,,,,,20.89,16.08,13.46,242.26,Buy 5 get 1,AADITYA PHARMEX
STYPTOVIT E,,,10'S,,Dr.REDDY's LABORATORIES LTD,,5,78,,,,,34.88,26.51,22.17,133.03,Buy 5 get 1,AADITYA PHARMEX
VOMIKIND SYP,,,30 ML,,MANKIND PHARMA LTD,,5,37,,,,,34.8,26.51,22.6,113,Buy 5 get 1,AADITYA PHARMEX
TUSQ D LOZENGES,,,6'S,,BLUE CROSS LABORATORIES LTD,,14.5,1,,,,,34.9,26.86,19.98,699.43,Buy 10 get 1,AADITYA PHARMEX
MONOTRATE 20MG .,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,36.73,28.28,26.3,552.3,Buy 5 get 1,AADITYA PHARMEX
MYOFLEX OINT,,,15GM,,SKN ORGANICS (P) LTD,,5,55,,,,,37,28.49,23.83,333.59,,AADITYA PHARMEX
