Name,Code,Type,Unit,Description,Manufacturer,Sales Tax,PurchaseTax,StripSize,Scheduled,Strength,Category,Molecule,Mrp,Selling Price,Avg Item Cost,Stock Value@ Cost,Offer,Distributor Name
ADVENT FORTE SYP,,,30 ML,,CIPLA LTD,,5,45,,,,,115,112,1,0,Buy 5 get 1,ARIEN LABS
AEROCORT FORTE ROTOCAP,,,30'S,,CIPLA LTD,,5,45,,,,,59,56,1,0,Buy 5 get 1,ARIEN LABS
ALERID TAB 10S,,,10'S,,CIPLA LTD,,5,45,,,,,20.16,17.16,1,0,Buy 5 get 1,ARIEN LABS
AMANTREL,,,15'S,,CIPLA LTD,,5,45,,,,,119,116,1,0,Buy 5 get 1,ARIEN LABS
AMLOPRES 10 MG,,,10'S,,CIPLA LTD,,5,45,,,,,61,58,1,0,,ARIEN LABS
ASSURANS,,,10'S,,CIPLA LTD,,5,45,,,,,150,147,1,0,,ARIEN LABS
ASTHALIN RESP/SOLN 15ML,,,1'S,,CIPLA LTD,,5,45,,,,,15.2,12.2,1,0,,ARIEN LABS
ASTHALIN SYRP 100ML,,,100ML,,CIPLA LTD,,5,45,,,,,15.75,12.75,1,0,,ARIEN LABS
ATORLIP 10MG,,,10'S,,CIPLA LTD,,5,45,,,,,65.93,62.93,1,0,,ARIEN LABS
ATORLIP 20,,,10'S,,CIPLA LTD,,5,45,,,,,190,187,1,0,,ARIEN LABS
ATORLIP 5 MG,,,10'S,,CIPLA LTD,,5,45,,,,,42.61,39.61,1,0,,ARIEN LABS
BECLATE 100 INH,,,,,CIPLA LTD,,5,45,,,,,249,246,1,0,,ARIEN LABS
BECLATE 100 ROTOCAPS 30S,,,30S,,CIPLA LTD,,5,45,,,,,44,41,1,0,,ARIEN LABS
