Name,Code,Type,Unit,Description,Manufacturer,Sales Tax,PurchaseTax,StripSize,Scheduled,Strength,Category,Molecule,Mrp,Selling Price,Avg Item Cost,Stock Value@ Cost,Offer,Distributor Name
WARF 2,,,10'S,,CIPLA LTD,,5,45,,,,,27.5,24.5,1,0,,ATLANTA BIOTECH
ZEROSTAT SPACER,,,,,CIPLA LTD,,5,45,,,,,165,162,1,0,,ATLANTA BIOTECH
ZEROSTAT VT SPACER 1S,,,1'S,,CIPLA LTD,,5,45,,,,,319,316,1,0,,ATLANTA BIOTECH
CALDOB,,,10'S,,COMED CHEMICALS (P) LIMITED,,5,63,,,,,104.85,101.85,1,0,,ATLANTA BIOTECH
CALDOB CRM,,,30 GM,,COMED CHEMICALS (P) LIMITED,,5,63,,,,,45,42,1,0,,ATLANTA BIOTECH
CODROXIL 500,,,10'S,,COMED CHEMICALS (P) LIMITED,,5,63,,,,,35.4,32.4,1,0,,ATLANTA BIOTECH
DOLOMED,,,20'S,,COMED CHEMICALS (P) LIMITED,,5,63,,,,,19.46,16.46,1,0,,ATLANTA BIOTECH
FEGRA 120,,,6'S,,COMED CHEMICALS (P) LIMITED,,5,63,,,,,42.8,39.8,1,0,,ATLANTA BIOTECH
LACOM,,,10'S,,COMED CHEMICALS (P) LIMITED,,5,63,,,,,53,50,1,0,Buy 5 get 1,ATLANTA BIOTECH
LYSER D,,,10'S,,COMED CHEMICALS (P) LIMITED,,5,63,,,,,85,82,1,0,Buy 5 get 1,ATLANTA BIOTECH
LYSER FORTE,,,10'S,,COMED CHEMICALS (P) LIMITED,,5,63,,,,,77,74,1,0,Buy 5 get 1,ATLANTA BIOTECH
LYTO,,,10'S,,COMED CHEMICALS (P) LIMITED,,5,63,,,,,76.5,73.5,1,0,Buy 5 get 1,ATLANTA BIOTECH
AROLAC POWDER,,,45 GM,,COMMONWEALTH PHARMACEUTICALS,,5,48,,,,,36,33,1,0,Buy 5 get 1,ATLANTA BIOTECH
B ACTIVE CP,,,30'S,,DELVIN FORMULATIONS,,14.5,48,,,,,278,275,1,0,Buy 5 get 1,ATLANTA BIOTECH
EMEFILM STRIPS,,,,,DELVIN FORMULATIONS,,14.5,48,,,,,10.5,7.5,1,0,Buy 5 get 1,ATLANTA BIOTECH
NU 650,,,15'S,,DELVIN FORMULATIONS,,14.5,48,,,,,39,36,1,0,Buy 5 get 1,ATLANTA BIOTECH
DEPO KARE,,,1 ML,,DKT INDIA,,14.5,130,,,,,125,122,1,0,Buy 5 get 1,ATLANTA BIOTECH
~GLIMY M2,,,10'S,,Dr.REDDY's LABORATORIES LTD,,5,54,,,,,58.8,55.8,1,0,Buy 5 get 1,ATLANTA BIOTECH
AFFEN PLUS,,,10'S,,Dr.REDDY's LABORATORIES LTD,,5,54,,,,,25.5,22.5,1,0,Buy 5 get 1,ATLANTA BIOTECH
