Name,Code,Type,Unit,Description,Manufacturer,Sales Tax,PurchaseTax,StripSize,Scheduled,Strength,Category,Molecule,Mrp,Selling Price,Avg Item Cost,Stock Value@ Cost,Offer,Distributor Name
SOMAZINA 500MG,,,10'S,,ELDER PHARMACEUTICALS PVT LTD,,5,73,,,,,401,398,1,0,Buy 5 get 1,CHOTTANIKARAI AMMAM PHARMA DISTRIBUTORS
ALZOLAM 0.5MG,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,22.44,19.44,1,0,Buy 5 get 1,CHOTTANIKARAI AMMAM PHARMA DISTRIBUTORS
COLD ACT NEW,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,56,,,,,36,33,1,0,,CHOTTANIKARAI AMMAM PHARMA DISTRIBUTORS
DRONIS 20MG,,,24'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,195,192,1,0,,CHOTTANIKARAI AMMAM PHARMA DISTRIBUTORS
DULANE 30MG,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,57,,,,,89,86,1,0,,CHOTTANIKARAI AMMAM PHARMA DISTRIBUTORS
EPIVAL SUSP 200,,,200 ML,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,57,,,,,114,111,1,0,,CHOTTANIKARAI AMMAM PHARMA DISTRIBUTORS
ETOSHINE MR,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,160,157,1,0,,CHOTTANIKARAI AMMAM PHARMA DISTRIBUTORS
EZACT 60MG,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,65,62,1,0,,CHOTTANIKARAI AMMAM PHARMA DISTRIBUTORS
FIBERLACT POW,,,90 GM,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,160,157,1,0,,CHOTTANIKARAI AMMAM PHARMA DISTRIBUTORS
PIOGLIT MF 15MG,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,73,70,1,0,,CHOTTANIKARAI AMMAM PHARMA DISTRIBUTORS
BRO ZEET SYP 100 ML,,,101 ML,,ALEMBIC CHEMICAL WORKS CO LTD,,5,46,,,,,60.1,46.03,38.28,112.85,Buy 10 get 1,CHOTTANIKARAI AMMAM PHARMA DISTRIBUTORS
TRIGLYCOMET,,,10'S,,USV,,14.5,25,,,,,61,46.48,43.23,1642.74,,CHOTTANIKARAI AMMAM PHARMA DISTRIBUTORS
GLUCOBAY 25 MG,,,10'S,,BAYER PHARMA,,5,1,,,,,61.5,46.86,43.11,775.98,,CHOTTANIKARAI AMMAM PHARMA DISTRIBUTORS
PERMITE CRM 30,,,30 GM,,GALDERMA INDIA PVT LTD,,5,98,,,,,59.22,47,39.64,436,,CHOTTANIKARAI AMMAM PHARMA DISTRIBUTORS
PHEXIN REDIMIX 125 MG **,,,60 ML,,GLAXO ENTRO PLUS TEAM I,,5,1,,,,,60.88,48.32,44.45,444.5,,CHOTTANIKARAI AMMAM PHARMA DISTRIBUTORS
COGNIX PLUS,,,10'S,,GRANDIX PHARMACEUTICALS LTD,,5,10,,,,,199.5,152,139.84,978.88,,CHOTTANIKARAI AMMAM PHARMA DISTRIBUTORS
