Name,Code,Type,Unit,Description,Manufacturer,Sales Tax,PurchaseTax,StripSize,Scheduled,Strength,Category,Molecule,Mrp,Selling Price,Avg Item Cost,Stock Value@ Cost,Offer,Distributor Name
GANATON TOTAL,,,10'S,,ABBOTT INDIA LTD,,14.5,25,,,,,240,220,1,0,Buy 5 get 1,C R AGENCIES
OCID - 20,,,15'S,,CADILA PHARMACEUTICALS LIMITED,,5,75,,,,,93,90,1,0,,C R AGENCIES
FLUCOS 150,,,4'S,,CFL,,5,48,,,,,64.51,61.51,1,0,,C R AGENCIES
ADDYZOA CAP,,,20'S,,CHARAK PHARMA PVT LTD,,5,37,,,,,116,113,1,0,,C R AGENCIES
HERBOLAX,,,100'S,,HIMALAYA,,5,53,,,,,80,77,1,0,Buy 5 get 1,C R AGENCIES
HIMOCID SYP BANANA,,,200ML,,HIMALAYA,,5,53,,,,,50,47,1,0,Buy 5 get 1,C R AGENCIES
HIMOCID SYP MINT,,,200 ML,,HIMALAYA,,5,53,,,,,50,47,1,0,Buy 5 get 1,C R AGENCIES
HIMOCID SYP SNF,,,200ML,,HIMALAYA,,5,53,,,,,50,47,1,0,Buy 5 get 1,C R AGENCIES
KARELA CAPS,,,60'S,,HIMALAYA,,5,78,,,,,90,87,1,0,,C R AGENCIES
OPTHACARE E/D,,,10 ML,,HIMALAYA,,5,37,,,,,35,32,1,0,,C R AGENCIES
TRIPHALA CAPS,,,60'S,,HIMALAYA,,5,78,,,,,90,87,1,0,,C R AGENCIES
TULASI CAPS,,,60'S,,HIMALAYA,,5,78,,,,,90,87,1,0,,C R AGENCIES
FIXON POWDER,,,15 GM,,ICPA HEALTH PRODUCTS LTD,,5,56,,,,,20.5,17.5,1,0,,C R AGENCIES
HEXIDINE M/W 160,,,160 ML,,ICPA HEALTH PRODUCTS LTD,,5,56,,,,,51,48,1,0,,C R AGENCIES
