Name,Code,Type,Unit,Description,Manufacturer,Sales Tax,PurchaseTax,StripSize,Scheduled,Strength,Category,Molecule,Mrp,Selling Price,Avg Item Cost,Stock Value@ Cost,Offer,Distributor Name
LAFF XT,,,10'S,,PHARMED MEDICARE,,5,1,,,,,120,117,1,0,,FOCUS HEALTHCARE PVT LTD
LORCAM 8MG TAB,,,10'S,,PHARMED MEDICARE,,5,1,,,,,58,55,1,0,,FOCUS HEALTHCARE PVT LTD
LYCOGOLD TAB,,,10'S,,PHARMED MEDICARE,,5,1,,,,,125,122,1,0,,FOCUS HEALTHCARE PVT LTD
SUPRACAL A CAP,,,10'S,,PHARMED MEDICARE,,5,1,,,,,115,112,1,0,,FOCUS HEALTHCARE PVT LTD
TENDOCARE TAB,,,15'S,,PHARMED MEDICARE,,5,1,,,,,225,222,1,0,,FOCUS HEALTHCARE PVT LTD
LACTO CALAMINE   60 ML,,,60ML,,PIRAMAL CONSUMER,,5,85,,,,,70,67,1,0,,FOCUS HEALTHCARE PVT LTD
POLYCROL  170 ML,,,170ML,,PIRAMAL CONSUMER,,5,85,,,,,53.9,50.9,1,0,,FOCUS HEALTHCARE PVT LTD
POLYCROL  50 ML,,,50ML,,PIRAMAL CONSUMER,,5,85,,,,,15,12,1,0,,FOCUS HEALTHCARE PVT LTD
SUPRACTIVE COMPLETE MAN 8'S,,,8'S,,PIRAMAL CONSUMER,,5,85,,,,,65,62,1,0,,FOCUS HEALTHCARE PVT LTD
AMBISTRYN S 0.75 INJ,,,2 ML,,PIRAMAL HEALTHCARE LTD,,5,45,,,,,8.17,5.17,1,0,,FOCUS HEALTHCARE PVT LTD
ASCABIOL LOTION 100 ML,,,100 ML,,PIRAMAL HEALTHCARE LTD,,5,45,,,,,62.1,59.1,1,0,,FOCUS HEALTHCARE PVT LTD
ASCABIOL LOTION 50 ML,,,50 ML,,PIRAMAL HEALTHCARE LTD,,5,45,,,,,28.5,25.5,1,0,,FOCUS HEALTHCARE PVT LTD
BACTRIM SUSP **,,,50 ML,,PIRAMAL HEALTHCARE LTD,,5,45,,,,,13.65,10.65,1,0,,FOCUS HEALTHCARE PVT LTD
CAAT 20,,,15'S,,PIRAMAL HEALTHCARE LTD,,5,45,,,,,350,347,1,0,,FOCUS HEALTHCARE PVT LTD
CAAT 40,,,10'S,,PIRAMAL HEALTHCARE LTD,,5,45,,,,,284,281,1,0,,FOCUS HEALTHCARE PVT LTD
